,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
144,2018 Adam Plutko,2018592644,1237.0,4.0,0.616,0.6032,13.0,0.595,0.0082,0.012800000000000034
145,2018 Robbie Ray,2018592662,2148.0,4.0,0.6276,0.6182,12.0,0.5442,0.074,0.009400000000000075
146,2018 Aaron Sanchez,2018592717,1770.0,4.0,0.5516,0.4605,18.0,0.3237,0.1368,0.09109999999999996
147,2018 Caleb Smith,2018592761,1317.0,5.0,0.6788,0.7,16.0,0.5869,0.1131,-0.021199999999999997
148,2018 Noah Syndergaard,2018592789,2340.0,5.0,0.4775,0.4872,10.0,0.3226,0.1646,-0.009700000000000042
149,2018 Jameson Taillon,2018592791,2906.0,5.0,0.4553,0.4732,15.0,0.3558,0.1174,-0.017900000000000027
150,2018 Vince Velasquez,2018592826,2432.0,5.0,0.5526,0.5839,11.0,0.5419,0.042,-0.031299999999999994
151,2018 Trevor Williams,2018592866,2605.0,5.0,0.5428,0.5706,15.0,0.5152,0.0554,-0.027800000000000047
152,2018 Richard Rodríguez,2018593144,1033.0,3.0,0.7868,0.7876,17.0,0.7493,0.0383,-0.0007999999999999119
153,2018 Domingo Germán,2018593334,1452.0,4.0,0.5464,0.5372,18.0,0.3623,0.1749,0.009199999999999986
154,2018 Carlos Martinez,2018593372,1885.0,6.0,0.5096,0.4894,19.0,0.2674,0.222,0.02020000000000005
155,2018 Eduardo Rodriguez,2018593958,2244.0,5.0,0.5116,0.5508,9.0,0.3913,0.1595,-0.0391999999999999
156,2018 Tayron Guerrero,2018594027,1046.0,4.0,0.8023,0.7634,17.0,0.762,0.0014,0.038900000000000046
157,2018 Jacob deGrom,2018594798,3125.0,5.0,0.5288,0.532,15.0,0.4278,0.1042,-0.0031999999999999806
158,2018 Marco Gonzales,2018594835,2457.0,4.0,0.5793,0.5805,18.0,0.3215,0.259,-0.0011999999999999789
159,2018 Jakob Junis,2018596001,2751.0,5.0,0.5288,0.5102,17.0,0.3395,0.1707,0.01860000000000006
160,2018 Daniel Mengden,2018596043,1695.0,6.0,0.4595,0.4505,13.0,0.3953,0.0552,0.009000000000000008
161,2018 Luke Weaver,2018596133,2299.0,5.0,0.5905,0.6383,10.0,0.5737,0.0646,-0.047799999999999954
162,2018 Austin Gomber,2018596295,1174.0,4.0,0.6148,0.5884,19.0,0.4923,0.0961,0.02639999999999998
163,2018 Matt Barnes,2018598264,1065.0,4.0,0.6692,0.5955,18.0,0.5408,0.0547,0.07369999999999999
164,2018 Brian Johnson,2018598271,1624.0,5.0,0.6445,0.6355,14.0,0.4821,0.1534,0.009000000000000008
165,2018 Noé Ramirez,2018598287,1268.0,3.0,0.6393,0.5836,18.0,0.4235,0.1601,0.05569999999999997
166,2018 Nick Pivetta,2018601713,2645.0,5.0,0.5386,0.5921,12.0,0.4945,0.0976,-0.05349999999999999
167,2018 Justin Anderson,2018605121,1027.0,4.0,0.6701,0.607,18.0,0.5521,0.0549,0.06310000000000004
168,2018 Archie Bradley,2018605151,1096.0,4.0,0.6618,0.7372,15.0,0.6934,0.0438,-0.07539999999999991
169,2018 Dylan Bundy,2018605164,2704.0,5.0,0.5848,0.5459,17.0,0.4793,0.0666,0.038899999999999935
170,2018 Mike Clevinger,2018605182,3225.0,4.0,0.584,0.5886,14.0,0.534,0.0546,-0.0046000000000000485
171,2018 Zach Davies,2018605200,1083.0,5.0,0.6552,0.5904,15.0,0.5651,0.0253,0.06479999999999997
172,2018 Michael Fulmer,2018605242,2060.0,5.0,0.499,0.4505,18.0,0.3544,0.0961,0.04849999999999999
173,2018 David Hess,2018605276,1659.0,5.0,0.426,0.6072,2.0,0.5877,0.0195,-0.18119999999999997
174,2018 Joe Musgrove,2018605397,1563.0,6.0,0.4778,0.4246,15.0,0.3225,0.1021,0.053200000000000025
175,2018 Aaron Nola,2018605400,3105.0,4.0,0.5198,0.5019,14.0,0.3639,0.138,0.017900000000000027
176,2018 Dereck Rodríguez,2018605446,1794.0,5.0,0.5175,0.4699,17.0,0.3707,0.0992,0.047599999999999976
177,2018 Blake Snell,2018605483,2834.0,4.0,0.6376,0.6601,10.0,0.5145,0.1456,-0.022500000000000075
178,2018 Andrew Suárez,2018605498,2397.0,5.0,0.5153,0.5217,17.0,0.3867,0.135,-0.006400000000000072
179,2018 Mike Wright,2018605541,1444.0,5.0,0.5346,0.5069,19.0,0.3906,0.1163,0.027699999999999947
180,2018 Yefry Ramírez,2018606162,1190.0,5.0,0.5987,0.5268,19.0,0.463,0.0638,0.07189999999999996
181,2018 Carlos Rodón,2018607074,1927.0,4.0,0.6111,0.6245,12.0,0.4748,0.1497,-0.013400000000000079
